,host_id,host_since,host_verifications,host_total_listings_count,host_is_superhost,host_response_rate,neighbourhood
1019,199578818,2018-07-02,"['email', 'phone']",4.0,f,100%,
1023,203266238,2018-07-18,"['email', 'phone', 'work_email']",7.0,t,100%,"Bronx, New York, United States"
1029,15009272,2014-05-02,"['email', 'phone']",3.0,f,100%,
1032,458308478,2022-05-09,"['email', 'phone']",3.0,f,60%,
1033,73511705,2016-05-23,['phone'],2.0,t,100%,"Queens, New York, United States"
1035,388071431,2021-02-10,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
1038,149814698,2017-09-09,"['email', 'phone']",1.0,f,100%,
1039,21008600,2014-09-06,"['email', 'phone']",3.0,f,50%,
1040,456589439,2022-04-29,"['email', 'phone']",17.0,f,77%,
1057,420995366,2021-08-31,"['email', 'phone']",2.0,t,100%,
1058,484515382,2022-10-21,"['email', 'phone']",1.0,f,100%,
1059,65276063,2016-03-31,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
1060,317527913,2019-12-14,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
1061,514888280,2023-05-15,"['email', 'phone']",23.0,f,96%,"Brooklyn, New York, United States"
1074,105379950,2016-11-27,"['email', 'phone']",8.0,f,100%,"Brooklyn, New York, United States"
1082,9550049,2013-10-21,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
1083,461285892,2022-05-27,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
1084,238547463,2019-01-23,"['email', 'phone']",7.0,f,100%,
1088,301101607,2019-10-08,"['email', 'phone']",5.0,f,100%,"The Bronx, New York, United States"
1089,148993903,2017-09-03,['phone'],4.0,f,100%,
1092,33616515,2015-05-18,['phone'],8.0,f,99%,
1095,45400201,2015-09-29,"['email', 'phone']",5.0,t,100%,"Brooklyn, New York, United States"
1100,24761711,2014-12-12,"['email', 'phone', 'work_email']",6.0,t,100%,"Brooklyn, New York, United States"
1104,470174701,2022-07-18,"['email', 'phone']",3.0,t,100%,
1106,68283148,2016-04-21,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
1107,26295451,2015-01-18,"['email', 'phone']",7.0,t,100%,
1109,517167221,2023-05-29,"['email', 'phone']",3.0,f,100%,"Brooklyn, New York, United States"
1111,457828432,2022-05-06,"['email', 'phone']",15.0,f,93%,
1123,292084,2010-11-19,"['email', 'phone']",6.0,f,100%,"Brooklyn, New York, United States"
1124,3213737,2012-08-10,"['email', 'phone']",7.0,f,100%,"The Bronx, New York, United States"
1126,487485412,2022-11-12,"['email', 'phone']",1.0,f,100%,"New York, United States"
1127,36903907,2015-06-27,"['email', 'phone']",1.0,f,60%,"Brooklyn, New York, United States"
1128,8288419,2013-08-20,"['email', 'phone']",17.0,f,90%,
1131,505170577,2023-03-13,"['email', 'phone']",3.0,f,100%,"Queens, New York, United States"
1132,477481580,2022-08-31,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
1133,117378121,2017-02-20,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
1134,392591606,2021-03-14,"['email', 'phone']",3.0,f,0%,
1136,464658136,2022-06-17,['phone'],2.0,f,100%,
1137,66125531,2016-04-06,"['email', 'phone']",9.0,t,100%,"New York, United States"
1138,276878527,2019-07-17,"['email', 'phone']",58.0,f,10%,
1157,453975705,2022-04-12,"['email', 'phone']",1.0,f,100%,
1158,173373234,2018-02-14,"['email', 'phone', 'work_email']",5.0,f,100%,
1160,83827347,2016-07-14,"['email', 'phone', 'work_email']",2.0,f,,"Brooklyn, New York, United States"
1161,4086839,2012-11-07,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
1162,40025069,2015-07-30,"['email', 'phone']",4.0,f,83%,
1163,144807057,2017-08-07,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
1164,173325979,2018-02-14,"['email', 'phone']",5.0,f,100%,"Queens, New York, United States"
1165,33021531,2015-05-10,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
1166,32159799,2015-04-28,"['email', 'phone']",6.0,f,76%,
1167,228879817,2018-12-03,"['email', 'phone']",18.0,t,100%,
1182,153141476,2017-10-03,"['email', 'phone']",5.0,f,0%,"Queens, New York, United States"
1183,235763046,2019-01-10,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
1184,12619300,2014-02-26,"['email', 'phone', 'work_email']",1.0,t,100%,
1185,378618797,2020-12-07,['phone'],1.0,t,100%,"Brooklyn, New York, United States"
1186,371939556,2020-10-14,"['email', 'phone']",2.0,f,100%,
1187,345159362,2020-05-02,['phone'],6.0,t,100%,"Bronx, New York, United States"
1188,23388169,2014-11-05,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
1189,382582503,2021-01-01,"['email', 'phone']",4.0,f,93%,"Brooklyn, New York, United States"
1193,451383898,2022-03-26,"['email', 'phone']",2.0,t,100%,
1194,500477805,2023-02-10,"['email', 'phone']",3.0,f,100%,
1197,401539965,2021-05-14,['phone'],2.0,f,,"Brooklyn, New York, United States"
1198,183573814,2018-04-10,"['email', 'phone']",4.0,f,100%,
1199,178435649,2018-03-14,"['email', 'phone']",2.0,f,100%,"Bronx, New York, United States"
1201,5971264,2013-04-17,"['email', 'phone']",3.0,f,100%,"Bronx, New York, United States"
1204,77750223,2016-06-14,"['email', 'phone']",3.0,f,,"Bronx, New York, United States"
1206,80602638,2016-06-28,"['email', 'phone']",6.0,f,94%,
1208,274452385,2019-07-08,['phone'],3.0,f,100%,
1211,295128,2010-11-22,"['email', 'phone']",7.0,f,100%,"Bronx, New York, United States"
1217,198206886,2018-06-26,"['email', 'phone']",3.0,t,100%,"Queens, New York, United States"
1218,34906299,2015-06-03,"['email', 'phone', 'work_email']",46.0,f,80%,
1222,33832598,2015-05-20,"['email', 'phone']",2.0,f,60%,"Queens, New York, United States"
1223,116995217,2017-02-18,"['email', 'phone']",1.0,f,80%,"Queens, New York, United States"
1224,52834548,2015-12-31,"['email', 'phone']",1.0,f,100%,"Bronx, New York, United States"
1225,971075,2011-08-15,"['email', 'phone']",11.0,f,100%,
1227,308295726,2019-11-09,"['email', 'phone']",1.0,t,100%,"Woodhaven , New York, United States"
1228,444889759,2022-02-13,"['email', 'phone']",5.0,f,,"Brooklyn, New York, United States"
1233,53627900,2016-01-06,"['email', 'phone']",1.0,t,70%,"Staten Island, New York, United States"
1234,491605940,2022-12-15,"['email', 'phone']",3.0,t,100%,
1236,480487538,2022-09-21,['phone'],3.0,f,100%,"Queens, New York, United States"
1238,137522531,2017-06-28,"['email', 'phone']",36.0,t,100%,"Queens, New York, United States"
1245,36138575,2015-06-18,"['email', 'phone']",2.0,f,0%,"Queens, New York, United States"
1246,512885422,2023-05-02,"['email', 'phone']",3.0,t,100%,
1248,68259829,2016-04-21,"['email', 'phone']",1.0,t,100%,
1249,487163726,2022-11-10,['phone'],1.0,t,100%,"Queens, New York, United States"
1250,39648442,2015-07-26,"['email', 'phone']",26.0,t,100%,"Queens, New York, United States"
1256,55682735,2016-01-22,"['email', 'phone']",3.0,t,100%,
1257,206642978,2018-08-01,"['email', 'phone']",2.0,f,89%,"Staten Island, New York, United States"
1259,61090169,2016-03-01,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
1260,443059996,2022-02-01,"['email', 'phone']",3.0,f,100%,"Queens, New York, United States"
1263,470849793,2022-07-21,"['email', 'phone']",6.0,f,100%,"The Bronx, New York, United States"
1268,28618103,2015-03-02,"['email', 'phone']",1.0,f,100%,"Staten Island, New York, United States"
1269,5117939,2013-02-17,"['email', 'phone']",3.0,t,98%,"Brooklyn, New York, United States"
1272,64777265,2016-03-28,"['email', 'phone']",7.0,f,100%,"Queens, New York, United States"
1273,329544129,2020-01-21,"['email', 'phone']",6.0,f,100%,"Brooklyn, New York, United States"
1274,522767860,2023-06-29,['phone'],1.0,f,85%,
1275,183059897,2018-04-08,"['email', 'phone']",7.0,,86%,"Brooklyn, New York, United States"
1277,188328775,2018-05-07,"['email', 'phone']",3.0,f,100%,
1278,7365834,2013-07-08,"['email', 'phone']",8.0,f,100%,"Brooklyn, New York, United States"
1282,82088787,2016-07-06,"['email', 'phone']",3.0,,50%,
1284,107187341,2016-12-13,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
1288,70410029,2016-05-04,"['email', 'phone', 'work_email']",5.0,f,44%,
1292,449278542,2022-03-12,"['email', 'phone']",7.0,f,43%,"New York, United States"
1295,151421618,2017-09-20,"['email', 'phone']",4.0,f,90%,"Queens, New York, United States"
1298,150883804,2017-09-16,"['email', 'phone']",6.0,f,100%,"Queens, New York, United States"
1300,38819962,2015-07-18,"['email', 'phone']",2.0,t,100%,"Staten Island, New York, United States"
1302,1976325,2012-03-20,"['email', 'phone']",11.0,t,100%,
1303,77010815,2016-06-10,"['phone', 'work_email']",2.0,f,100%,"Bronx, New York, United States"
1305,462287349,2022-06-02,"['email', 'phone']",7.0,f,100%,
1309,474967067,2022-08-14,['phone'],2.0,t,95%,
1311,384568246,2021-01-14,"['email', 'phone']",1.0,f,100%,"Staten Island, New York, United States"
1312,520407261,2023-06-16,['phone'],2.0,f,100%,
1313,20161085,2014-08-17,"['email', 'phone']",5.0,f,100%,
1317,359836729,2020-08-01,"['email', 'phone']",2.0,t,100%,"Bronx, New York, United States"
1319,27673980,2015-02-13,"['email', 'phone']",8.0,f,66%,"Queens, New York, United States"
1327,14103991,2014-04-10,"['email', 'phone']",39.0,f,100%,"Queens, New York, United States"
1332,224837341,2018-11-08,"['email', 'phone']",1.0,f,20%,
1333,156952896,2017-10-31,"['email', 'phone']",4.0,t,100%,
1336,118759821,2017-03-01,['phone'],3.0,f,98%,"Brooklyn, New York, United States"
1338,399414325,2021-04-30,"['email', 'phone']",3.0,t,100%,
1340,429935341,2021-11-01,['phone'],7.0,t,97%,
1346,484563208,2022-10-21,"['email', 'phone']",4.0,f,100%,"Queens, New York, United States"
1347,204545471,2018-07-23,"['email', 'phone']",2.0,f,100%,"Queens, New York, United States"
1349,475822306,2022-08-19,['phone'],1.0,t,100%,
1350,125961131,2017-04-15,"['email', 'phone']",21.0,f,89%,"Brooklyn, New York, United States"
1353,36821356,2015-06-26,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
1354,168429942,2018-01-17,"['email', 'phone']",2.0,f,100%,"Bronx, New York, United States"
1356,3656008,2012-09-23,"['email', 'phone']",12.0,t,100%,
1361,440916771,2022-01-17,"['email', 'phone']",2.0,f,100%,
1363,37312959,2015-07-02,"['email', 'phone']",12.0,,100%,"East Elmhurst, New York, United States"
1364,57690761,2016-02-06,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
1365,368465567,2020-09-20,"['email', 'phone']",9.0,f,91%,"Queens, New York, United States"
1371,163065952,2017-12-17,"['email', 'phone']",2.0,f,0%,
1372,110900012,2017-01-11,"['email', 'phone']",3.0,f,40%,"Richmond Hill , New York, United States"
1373,415460981,2021-07-27,"['email', 'phone']",1.0,f,0%,
1374,212147885,2018-08-27,"['email', 'phone']",6.0,f,,"Staten Island, New York, United States"
1378,447235921,2022-02-28,"['email', 'phone']",497.0,f,92%,
1384,103252899,2016-11-10,"['email', 'phone']",1.0,f,100%,"The Bronx, New York, United States"
1385,292734612,2019-09-06,"['email', 'phone']",7.0,f,89%,
1389,264728394,2019-05-28,"['email', 'phone']",6.0,f,97%,
1394,398678033,2021-04-26,['phone'],1.0,f,,
1395,2790890,2012-06-30,"['email', 'phone']",11.0,f,100%,"Brooklyn, New York, United States"
1400,371008926,2020-10-07,"['email', 'phone']",10.0,f,50%,
1405,175764134,2018-02-27,"['email', 'phone']",3.0,f,100%,
1406,127112667,2017-04-22,"['email', 'phone']",1.0,f,,"Bronx, New York, United States"
1407,318589021,2019-12-17,"['email', 'phone']",2.0,t,100%,"East Elmhurst, New York, United States"
1408,99665421,2016-10-14,"['email', 'phone']",2.0,f,100%,"Queens, New York, United States"
1410,175152359,2018-02-24,"['email', 'phone']",8.0,f,89%,"Bronx, New York, United States"
1414,10149317,2013-11-20,"['email', 'phone', 'work_email']",33.0,t,100%,"Kew Gardens, New York, United States"
1430,478260569,2022-09-05,['phone'],6.0,t,100%,"Queens, New York, United States"
1436,128162460,2017-04-29,['phone'],1.0,f,,"Brooklyn, New York, United States"
1437,314467728,2019-12-04,"['email', 'phone']",3.0,f,100%,
1440,447895924,2022-03-04,"['email', 'phone']",3.0,t,86%,
1443,388855612,2021-02-16,"['email', 'phone']",5.0,f,100%,
1446,487219193,2022-11-10,"['email', 'phone']",1.0,t,90%,
1447,101285959,2016-10-25,"['email', 'phone']",5.0,t,100%,"Queens, New York, United States"
1449,371429669,2020-10-10,"['email', 'phone']",6.0,f,100%,
1452,143127602,2017-07-29,"['email', 'phone']",26.0,t,100%,"Brooklyn , New York, United States"
1470,30125155,2015-03-27,['phone'],5.0,t,100%,
1474,215759678,2018-09-16,"['email', 'phone']",12.0,t,100%,"Queens, New York, United States"
1486,483378389,2022-10-12,"['email', 'phone']",4.0,f,100%,
1489,119692067,2017-03-07,['phone'],7.0,f,90%,"Brooklyn, New York, United States"
1493,463217904,2022-06-08,['phone'],6.0,f,70%,"Queens, New York, United States"
